"","X","OTU","average","sd","ratio","ava","avb","cumsum","p","contribution","comparison"
"382",382,"Fusobacteria",0.000328318827778354,0.000213590359430635,1.53714254076611,0.000551820042151195,0.000917193943234086,0.986885218163604,0.0194,0.000590306614944969,"P. Contaminated_S. Saline"
"405",405,"candidate.division.WOR.3",0.000121672720074338,0.000152369452680767,0.798537488542783,0.000142353031399659,0.000258184572045013,0.996247041313924,0.0118,0.000218763608545003,"P. Contaminated_S. Saline"
"422",422,"Balneolaeota",5.5136816393733e-05,5.10988766657677e-05,1.07902208407392,8.32531079752437e-05,0.00015843393718434,0.999013184686093,0.0374,9.91342094650571e-05,"P. Contaminated_S. Saline"
"434",434,"Candidatus.Parvarchaeota",1.97588844976789e-05,3.67804910436949e-05,0.5372110033606,1.34236670526491e-05,3.44373296880316e-05,0.999777457471853,0.0054,3.55258341470099e-05,"P. Contaminated_S. Saline"
"452",452,"Bacteroidetes",0.107492849853224,0.0871864883304159,1.23290720743163,0.0562495120410272,0.245792277843078,0.481195352592415,4e-04,0.186171723831603,"P. Contaminated_Porous"
"472",472,"Candidatus.Parcubacteria",0.00419022738344118,0.00714997462891063,0.586047867428532,0.000153762237541147,0.00831729593092252,0.84533147731375,0.0084,0.00725724414495299,"P. Contaminated_Porous"
"510",510,"Candidatus.Dadabacteria",0.000665135104409614,0.000986787737255051,0.674040707335725,0.000243409108443052,0.0012563898390722,0.972014328275028,0.0098,0.00115197754211493,"P. Contaminated_Porous"
"516",516,"candidate.division.Zixibacteria",0.000500669318334754,0.000646999895149581,0.773832147560092,0.000210196184496499,0.00109844373832585,0.97757047342226,0.0132,0.000867131815662003,"P. Contaminated_Porous"
"563",563,"Balneolaeota",7.68215974389824e-05,7.515912257034e-05,1.02211940229992,8.32531079752437e-05,0.000202548925767053,0.998178629835885,0.0248,0.000133050795865008,"P. Contaminated_Porous"
"568",568,"Calditrichaeota",5.7605056892379e-05,4.79631888886972e-05,1.20102641686433,5.57534842862756e-05,0.000146722584974333,0.99873019853181,0.0034,9.97688009729547e-05,"P. Contaminated_Porous"
"584",584,"Candidatus.Fischerbacteria",2.02007087204877e-05,1.51229037062637e-05,1.33576918248318,3.00268631647182e-05,4.94121780705936e-05,0.999809376754377,0.0242,3.49865202219357e-05,"P. Contaminated_Porous"
"602",602,"Euryarchaeota",0.0735138000312956,0.0841369541536708,0.873739735063707,0.0198401993035214,0.148376487678342,0.343696531689408,2e-04,0.124274893906678,"P. Contaminated_Geyser"
"606",606,"Candidatus.Nealsonbacteria",0.0190841152354854,0.0309938879978152,0.615738020245495,0.00168158732659166,0.0392561178130643,0.521688039015695,2e-04,0.0322616487677571,"P. Contaminated_Geyser"
"611",611,"Chloroflexi",0.0114252391972663,0.00992481828725199,1.15117867819721,0.0117817959523872,0.0289758587849352,0.644503481543268,2e-04,0.019314338103788,"P. Contaminated_Geyser"
"614",614,"Candidatus.Wolfebacteria",0.00975325849810295,0.0158027705084009,0.617186618822188,0.00829538606571133,0.017225245194627,0.695814622565805,0.005,0.0164878589405,"P. Contaminated_Geyser"
"616",616,"Nitrospirae",0.00910230370071942,0.00916207807387976,0.993475893495085,0.00907910813647194,0.0212974842522415,0.726614218572349,2e-04,0.015387421494083,"P. Contaminated_Geyser"
"617",617,"Candidatus.Roizmanbacteria",0.00871492517692946,0.00912287807701495,0.955282434266734,0.0074344117188281,0.0204276241848224,0.74134677764706,2e-04,0.014732559074711,"P. Contaminated_Geyser"
"620",620,"Armatimonadetes",0.00587648543656843,0.0070722978564152,0.830915998714328,0.000560039437158204,0.0122277253145611,0.774838879694495,2e-04,0.00993418383844702,"P. Contaminated_Geyser"
"625",625,"Candidatus.Shapirobacteria",0.00478442236740471,0.00707676510019213,0.676074774231918,0.00356015219251858,0.00979150058177198,0.817671870205887,6e-04,0.00808805396892609,"P. Contaminated_Geyser"
"629",629,"Candidatus.Berkelbacteria",0.00376793909721102,0.0047173016440087,0.798748814801057,0.00178193921464447,0.00835036102908786,0.847193704088339,2e-04,0.0063696915593181,"P. Contaminated_Geyser"
"637",637,"Candidatus.Portnoybacteria",0.00275544165751251,0.00426656330267655,0.645822284128289,0.000749561712912931,0.0059292591015957,0.889650785204508,2e-04,0.00465806718612805,"P. Contaminated_Geyser"
"642",642,"Candidatus.Pacebacteria",0.00209629889292779,0.00304572937998602,0.688274837122072,0.00164157663439153,0.00423754188598558,0.910211864350616,0.0018,0.00354378800176791,"P. Contaminated_Geyser"
"643",643,"Candidatus.Woesearchaeota",0.00202720272833949,0.00211895531684558,0.956699139535098,0.00230818517376085,0.00427033736392325,0.913638845460074,0.0016,0.00342698110945805,"P. Contaminated_Geyser"
"644",644,"Candidatus.Aenigmarchaeota",0.00194173657121488,0.00270005816004641,0.719146202088291,0.000112715240559703,0.00395997712520213,0.916921346246045,2e-04,0.00328250078597103,"P. Contaminated_Geyser"
"647",647,"Candidatus.Jorgensenbacteria",0.00192605386492362,0.00307453892387075,0.626452912978179,0.00153805450527439,0.00371423670715232,0.926712976255667,0.001,0.003255989210461,"P. Contaminated_Geyser"
"648",648,"Candidatus.Giovannonibacteria",0.00180720713389861,0.00222256334539749,0.813118392166861,0.00384062078753439,0.00031747637567137,0.929768055366488,0.0494,0.00305507911082104,"P. Contaminated_Geyser"
"649",649,"Candidatus.Beckwithbacteria",0.00174405322650432,0.00194888776007061,0.89489670069103,0.00218732238083343,0.00345606461345086,0.932716372955827,0.0092,0.002948317589339,"P. Contaminated_Geyser"
"651",651,"Candidatus.Desantisbacteria",0.00168663281162847,0.00147261274310763,1.14533357090826,7.2967513387251e-05,0.0034282228560016,0.93851089772175,2e-04,0.00285124852252805,"P. Contaminated_Geyser"
"652",652,"Candidatus.Kuenenbacteria",0.00166511986054951,0.00233882513270402,0.711947138443986,0.000661328672065463,0.00364251283726454,0.941325778654631,2e-04,0.00281488093288096,"P. Contaminated_Geyser"
"658",658,"Candidatus.Micrarchaeota",0.00109270603609949,0.00133888173027022,0.816133353226769,0.00024829339486511,0.00231059278140678,0.956237499149016,2e-04,0.00184721680350697,"P. Contaminated_Geyser"
"659",659,"Gemmatimonadetes",0.00106620479657001,0.00137684581202301,0.774382132886344,0.00109810733070357,0.00160164375371606,0.958039915673806,0.0138,0.00180241652478996,"P. Contaminated_Geyser"
"662",662,"Caldiserica",0.000905916790949081,0.00121789427555525,0.743838614838764,9.36124115444403e-05,0.00185559538956647,0.963016043717017,2e-04,0.00153145005475896,"P. Contaminated_Geyser"
"663",663,"Candidatus.Terrybacteria",0.000815880388352652,0.000900973304669078,0.905554453305717,0.00169592292498791,8.22277148389013e-05,0.964395287459823,0.0196,0.00137924374280596,"P. Contaminated_Geyser"
"664",664,"Candidatus.Tagabacteria",0.000728947328391088,0.00117308727368081,0.621392239729838,0.000550450480884704,0.00144700424378641,0.965627571083589,0.0012,0.00123228362376604,"P. Contaminated_Geyser"
"669",669,"Chlamydiae",0.000593433183563967,0.00136131639378893,0.435925980375711,0.000728525399319546,0.000662146909840673,0.971339340027442,0.0234,0.0010031973030461,"P. Contaminated_Geyser"
"670",670,"Candidatus.Colwellbacteria",0.000573821646497044,0.0010646816513728,0.53896077363328,0.000371214651835772,0.00111841123146606,0.972309384076443,0.002,0.000970044049000918,"P. Contaminated_Geyser"
"671",671,"Candidatus.Marinimicrobia",0.000563123382923919,0.000607015101852385,0.92769254208911,0.000820420221074971,0.00160685271869617,0.973261342737802,0.0014,0.000951958661358998,"P. Contaminated_Geyser"
"674",674,"Candidatus.Harrisonbacteria",0.000531132136655379,0.000892811137497581,0.594898645803261,0.000818791345374749,0.000672475119653325,0.975997702145703,0.0304,0.00089787754006998,"P. Contaminated_Geyser"
"681",681,"Candidatus.Diapherotrites",0.000461717043000173,0.000625840962208364,0.737754590832378,0.000151804932254186,0.00100368390149656,0.98195812713468,2e-04,0.000780531498974057,"P. Contaminated_Geyser"
"683",683,"Candidatus.Hydrogenedentes",0.000438143616011478,0.000495217381364448,0.884750076429634,0.000113926674041468,0.000972951014944435,0.983475565054713,2e-04,0.000740680679989003,"P. Contaminated_Geyser"
"686",686,"Candidatus.Blackburnbacteria",0.000396944177550746,0.000447332204038355,0.887358821849346,0.000824692041960327,3.74159139446279e-05,0.985590446371522,0.0216,0.000671033132977006,"P. Contaminated_Geyser"
"689",689,"Candidatus.Bathyarchaeota",0.000373670870996102,0.000550848846338098,0.678354640261426,0.000109775926415279,0.000807085180778962,0.987510079303765,2e-04,0.000631689666828028,"P. Contaminated_Geyser"
"691",691,"Candidatus.Brennerbacteria",0.000365252633997769,0.000646399253574249,0.565057326378571,0.000214779539363665,0.00072990366331622,0.988747549813391,2e-04,0.000617458658372927,"P. Contaminated_Geyser"
"693",693,"Candidatus.Doudnabacteria",0.000351607504961305,0.000319410406420281,1.1008016579731,0.000835116085811122,0.000230101419239179,0.989948584092561,0.0296,0.000594391602083078,"P. Contaminated_Geyser"
"703",703,"Candidatus.Gracilibacteria",0.000217997204032857,0.000304442060208984,0.716054818060334,0.000109696054346583,0.000444624829382948,0.994490597195032,2e-04,0.00036852372468299,"P. Contaminated_Geyser"
