"","average","sd","ratio","ava","avb","cumsum","p"
"Proteobacteria",0.149585343783603,0.109658309530334,1.36410404669083,0.696464397244921,0.416219291035874,0.306613301463422,0.2472
"Euryarchaeota",0.0728039847915416,0.0869167821207558,0.837628626085042,0.00327629602056584,0.148376487678342,0.455843630932868,0.003
"Actinobacteria",0.0604540051194327,0.0490967782581389,1.23132326120423,0.140504301445061,0.036363523173886,0.579759528222718,2e-04
"Bacteroidetes",0.0228683549065066,0.0241704177494704,0.946129899099809,0.0206944102247908,0.0627050088690435,0.626634052287487,0.9108
"Candidatus.Nealsonbacteria",0.0195295713057091,0.0311669012412726,0.626612544972777,0.000273965844991847,0.0392561178130643,0.666664888081609,0.0014
"Chloroflexi",0.0101946416646651,0.00923635782033758,1.10375126894905,0.015707073235349,0.0289758587849352,0.687561405474125,0.0932
"Candidatus.Roizmanbacteria",0.00993847641956667,0.0102224434668439,0.97222121617026,0.000796314937603023,0.0204276241848224,0.707932846883038,4e-04
"Nitrospirae",0.00881724353611572,0.00973757200509877,0.905486863819734,0.00486586111561743,0.0212974842522415,0.726006035619539,0.01
"Candidatus.Wolfebacteria",0.0085330493616559,0.0162800413905075,0.524141748597232,0.00022841541747324,0.017225245194627,0.743496695935248,0.1686
"Acidobacteria",0.00851855342681729,0.00608745215904556,1.39936268971893,0.014171601364758,0.00865548845039855,0.760957643136516,2e-04
"Planctomycetes",0.00692166446107018,0.00674031465074771,1.02690524400109,0.0133584326382514,0.00578307636889897,0.775145359247935,0.9982
"Firmicutes",0.00676536949438259,0.00517279980612718,1.30787383002316,0.0181020707763504,0.00958846281377006,0.789012708975014,1
"Armatimonadetes",0.00569029831247078,0.00701795156323803,0.810820402676777,0.00110914227232063,0.0122277253145611,0.800676426206713,2e-04
"Candidatus Omnitrophica",0.00496013742617281,0.00571683475074831,0.867637012863377,0.00515544699895609,0.00873048679169902,0.810843492534757,0.8932
"Candidatus.Shapirobacteria",0.00482792436562839,0.00749031694109604,0.644555417827478,0.00018403628005929,0.00979150058177198,0.820739554485201,0.0236
"Elusimicrobia",0.00470634245104926,0.00560960641254391,0.838979084258958,0.0026619994269866,0.0105301293579594,0.830386403302297,0.9758
"Candidatus Moranbacteria",0.00434697301075423,0.00328423811697029,1.32358643190108,0.000401192271256396,0.00900465016487848,0.839296632824033,0.9658
"Verrucomicrobia",0.00431322319050693,0.00246082758566055,1.7527531045411,0.00893497362410635,0.00485612474212881,0.84813768348407,0.006
"Candidatus.Falkowbacteria",0.00419335584390666,0.00440599903417964,0.951737803702771,0.000352055137713634,0.00865476944551474,0.85673303545499,0.5934
"Candidatus.Berkelbacteria",0.00412642934056692,0.00497864442346916,0.828825879011377,0.000128335529473079,0.00835036102908786,0.865191204493242,4e-04
"Candidatus.Portnoybacteria",0.00291067584333382,0.00434882555332581,0.669301586748599,0.00015242937460964,0.0059292591015957,0.871157376761466,0.0014
"Ignavibacteriae",0.00284206004018182,0.00224895334254153,1.26372565691826,0.0034324985000059,0.00779430676478311,0.87698290344634,0.9572
"Candidatus.Kaiserbacteria",0.00246669573989293,0.00277817816064318,0.887882488904837,0.00109802087343947,0.0052963488327568,0.88203902529213,0.2918
"candidate.division.NC10",0.00243972603286446,0.00473980049792831,0.514731798085347,0.00494680685132712,9.04763120644712e-05,0.887039865846971,4e-04
"Candidatus.Levybacteria",0.00233951392613563,0.00349099988296951,0.670155830582726,0.0035712826489458,0.00211547574449539,0.891835296138255,0.9086
"Candidatus.Rokubacteria",0.00212247515335868,0.002042570267265,1.03911977344146,0.00428066059646472,0.0010178700734591,0.896185850126932,0.6544
"Candidatus.Pacebacteria",0.00208601674075948,0.0031858921922236,0.654766895707019,9.13754712098487e-05,0.00423754188598558,0.900461673303282,0.035
"Candidatus.Woesearchaeota",0.00199613191173942,0.0023295909552094,0.856859401551033,0.000488852140924431,0.00427033736392325,0.904553254604859,0.0308
"Candidatus.Aenigmarchaeota",0.00197360149986704,0.00271307066964466,0.72744198002241,1.76123918260568e-05,0.00395997712520213,0.908598654082784,8e-04
"Candidatus.Magasanikbacteria",0.00184796181784759,0.00256097772487972,0.721584494818043,0.000610249907469445,0.00390725921305353,0.912386522998393,0.9724
"Candidate Division WWE3",0.0018190468154832,0.00188619471297323,0.964400336281198,0.000211007803458867,0.00379822028947658,0.916115123244275,1
"Candidatus.Jorgensenbacteria",0.00181565828262097,0.00327305372114959,0.554729142051253,0.000206200365207489,0.00371423670715232,0.91983677782809,0.0818
"Candidatus.Kuenenbacteria",0.00179639976042084,0.00242360477396934,0.741209862150392,6.83540625511801e-05,0.00364251283726454,0.923518957160361,0.001
"Candidatus Woesebacteria",0.00178134682416732,0.00334087865130378,0.533197104741337,0.00053968138660755,0.00371444848115092,0.927170281661774,1
"Candidatus.Desantisbacteria",0.00170083844103475,0.00147999373171133,1.14922003018759,3.2680838253244e-05,0.0034282228560016,0.930656583704948,2e-04
"Candidatus.Beckwithbacteria",0.00169499504909463,0.00205060630943747,0.8265823826318,8.86279388231469e-05,0.00345606461345086,0.934130908226465,0.0974
"Candidatus.Atribacteria",0.00167048206494576,0.00183475033054672,0.910468327561491,6.4527991055053e-05,0.00339183871140039,0.93755498713696,0.3764
"Candidatus.Uhrbacteria",0.00165525128736658,0.00241115050557407,0.686498534015188,0.00123222477574173,0.00321471056410865,0.940947846685454,0.9964
"Thaumarchaeota",0.00161077844990843,0.00163308485263294,0.986340940773197,0.00333778762982841,0.00092045717238351,0.944249547814457,0.0736
"Gemmatimonadetes",0.00154649420662844,0.000936038025093552,1.65217028066127,0.00257335299796953,0.00160164375371606,0.947419481996474,2e-04
"Candidatus.Peregrinibacteria",0.00144532267590957,0.00217036828494138,0.665934296007559,0.000446696848732865,0.00312403052499521,0.950382039330845,0.9968
"Candidatus.Collierbacteria",0.00130302117682586,0.00134451022181593,0.969141889502311,0.000122370660688629,0.00269595585822188,0.953052913460608,0.9986
"Candidatus.Zambryskibacteria",0.00122922275558448,0.00408617971765865,0.300824447410458,0.000529075973650692,0.00219901032104955,0.955572518909849,0.9234
"Candidatus.Micrarchaeota",0.00111696065799555,0.00136404888625544,0.818856764776088,0.000106108249809141,0.00231059278140678,0.957862014566912,4e-04
"Candidatus.Daviesbacteria",0.00110802694008102,0.00198702043376575,0.557632383267,0.00220737673561772,0.000188584632755377,0.960133198291302,0.9996
"Candidatus.Gottesmanbacteria",0.0009971505191317,0.000955822072975702,1.04323863962184,0.000858780173032788,0.00206250241943647,0.962177112521089,0.9994
"Caldiserica",0.000916044173156707,0.00123013099607754,0.744672052064093,3.41520595982684e-05,0.00185559538956647,0.964054778615331,4e-04
"Candidatus.Nomurabacteria",0.00091501496081854,0.00108214810388017,0.84555427998963,0.0010250462726123,0.00168403633141516,0.965930335076469,1
"Cyanobacteria",0.000800785296146417,0.000678573736558181,1.18010063314285,0.0023660962276561,0.00201953458482718,0.967571748715028,0.9556
"Candidatus.Tagabacteria",0.000711578724046413,0.00124592291841562,0.571125800423746,4.35351721402287e-05,0.00144700424378641,0.969030310739303,0.0554
"Candidatus.Yanofskybacteria",0.000684398166501224,0.0011453457951053,0.597547194415903,0.000915043820710921,0.000770896231280409,0.970433159280736,1
"Candidatus.Marinimicrobia",0.000635221893970103,0.000657429587349614,0.966220422982422,0.000460029290499896,0.00160685271869617,0.971735208513271,0.002
"Deinococcus.Thermus",0.000608212818122503,0.000313181677792126,1.94204470200905,0.00126814396101409,0.000482201576631358,0.972981895758425,0.3852
"Candidatus.Aminicenantes",0.000606168404802202,0.000483341473517043,1.25412040558284,0.0014095443378526,0.000354013427147348,0.974224392457219,2e-04
"Spirochaetes",0.000599795107857818,0.000493193041269067,1.21614673701487,0.0017290591014295,0.000782698541916335,0.975453825458944,1
"Candidatus.Kerfeldbacteria",0.000567521526001341,0.000468665225574425,1.21093158833313,8.71736078845581e-05,0.00119807098224752,0.976617105525944,0.3446
"Candidatus.Colwellbacteria",0.000549031088205458,0.00110859198957898,0.495250816681411,9.03079696705589e-05,0.00111841123146606,0.977742484726224,0.0804
"Candidatus.Saccharibacteria",0.000504793946414982,0.00083095957422224,0.607483158115674,0.000313402386267299,0.00104915125029012,0.978777188625377,0.7726
"Candidatus.Yonathbacteria",0.000497961368533613,0.000867199672988339,0.574217661795991,9.002639469176e-05,0.0010364105842028,0.979797887414078,0.9024
"Candidatus.Diapherotrites",0.000487584485586838,0.000643951776038496,0.757175465197708,4.12910042680433e-05,0.00100368390149656,0.980797316135413,0.0076
"Candidatus.Staskawiczbacteria",0.000448639383932067,0.000614614781607054,0.729952154354301,0.000510379537649836,0.000688082235643855,0.981716916941177,0.9996
"Candidatus.Komeilibacteria",0.000441290821106422,0.000852303752810734,0.517762381839959,9.57586776014261e-05,0.000938467250647488,0.982621454993787,0.405
"Candidatus.Hydrogenedentes",0.000409311846508157,0.000483811466788889,0.846015182783504,0.000224072381358439,0.000972951014944435,0.983460443984363,0.0018
"Candidatus.Bathyarchaeota",0.000372168319111265,0.000544865336159381,0.683046423423788,0.000142769769792513,0.000807085180778962,0.984223297845152,0.003
"Candidatus.Harrisonbacteria",0.000370124614408701,0.000937533558462232,0.394785457083573,0.00020801497921817,0.000672475119653325,0.984981962612075,0.4712
"Lentisphaerae",0.00036828138771113,0.000496428321530192,0.74186216164287,0.000863829440872097,0.000339859485268388,0.985736849215919,0.9882
"Candidatus.Brennerbacteria",0.000362220820487344,0.000678386455324071,0.533944652999165,9.56249283461559e-06,0.00072990366331622,0.986479313141991,0.046
"Chlamydiae",0.000346628187144581,0.00138812767805115,0.249709153290011,0.000148135486274298,0.000662146909840673,0.987189815990415,0.4644
"Candidatus.Azambacteria",0.000306891460835558,0.000558768642700435,0.549228137342143,0.000152098058050823,0.000593241780700115,0.9878188682867,1
"Candidatus.Campbellbacteria",0.000279405353278058,0.000891560390120853,0.313389150498469,7.97858737706066e-05,0.000562310559746487,0.988391580797487,0.8208
"Candidatus.Taylorbacteria",0.000274775711168702,0.000423970557455624,0.648100926672159,0.000396747851917297,0.000360514265265647,0.988954803676362,0.9988
"Candidatus.Buchananbacteria",0.000256542319946661,0.000336076635073198,0.763344705265767,0.000257102603845595,0.000501664646884636,0.989480652571009,0.997
"Candidatus.Curtissbacteria",0.000251355550926522,0.000399330551370969,0.629442325571073,0.000475630869825205,0.000128183219509781,0.989995869860092,1
"Candidatus.Eisenbacteria",0.000237319364010164,0.000143497585832089,1.65382130043538,0.000379179564716699,0.000229781185361744,0.99048231640532,2e-04
"Candidatus.Giovannonibacteria",0.000225813931421183,0.000296910016957539,0.760546692681899,0.000306603010943781,0.00031747637567137,0.990945179632948,1
"Candidatus.Sungbacteria",0.000218681926504231,0.000379415385265572,0.576365469078605,0.0004012962942402,0.000143888484634108,0.99139342399807,0.985
"Candidatus.Gracilibacteria",0.000217101444546767,0.000309945894390508,0.700449492882251,1.33092779244485e-05,0.000444624829382948,0.991838428762449,0.0052
"Candidatus.Melainabacteria",0.000212028901991368,0.000597169764533969,0.355056324991327,0.000432584561134491,3.6283301332312e-05,0.992273036057528,1
"candidate.division.Zixibacteria",0.000192528116295787,0.000159351420585838,1.2081983052801,0.000176782143279552,0.000485236908714396,0.99266767152026,0.2954
"Candidatus.Liptonbacteria",0.000180483311112358,0.00024119778225573,0.748279314280759,0.000267282226034664,0.000206911345816772,0.993037618083737,0.9986
"Candidatus.Handelsmanbacteria",0.000180221626016331,0.000223845108185039,0.80511755417658,0.000371981737554056,7.69070079343534e-05,0.993407028256888,0.47
"Candidatus.Lloydbacteria",0.000173400857798139,0.000421278334128034,0.411606398313946,0.000185118584465079,0.000231139942957678,0.993762457526502,0.9364
"Nitrospinae",0.00016106775376771,0.000167754715053163,0.960138459993011,0.00031329630003127,0.000344396581043746,0.994092606954868,1
"Candidatus.Doudnabacteria",0.00015353397734625,0.000191791137895221,0.800526964025465,0.000203066340454823,0.000230101419239179,0.994407313987591,0.9996
"Candidatus.Wildermuthbacteria",0.000141594991555913,0.000169539634285883,0.835173392654317,0.00018435790405153,0.000191874877551319,0.994697549024884,0.9994
"Candidatus.Ryanbacteria",0.00013242312985232,0.000212658616037003,0.622702866782873,0.000158159868115912,0.000182069812203958,0.994968983993092,0.9984
"Candidatus.Vogelbacteria",0.00013229189926611,0.000223390775456198,0.592199471960958,8.08604097853273e-05,0.000250431558525767,0.995240149970753,0.9888
"Candidatus.Niyogibacteria",0.000124088467780064,0.000304113663147686,0.408033188958705,5.5576354626765e-05,0.000238120946596957,0.995494500923976,0.707
"Candidatus.Amesbacteria",0.000117173134898893,0.000221746211989315,0.528410987713012,0.000214356606946655,7.59543600523314e-05,0.995734677139275,1
"Synergistetes",0.000114741966088325,9.56018182848099e-05,1.20020694320368,0.00027869204747118,0.000113361471100224,0.995969870054228,0.9992
"Tenericutes",0.000113248554646813,0.000111185179213707,1.01855800789006,0.000276739210136165,0.000255080152312767,0.996202001841661,1
"Chlorobi",0.000109213407893977,9.34296226663045e-05,1.16893769638829,0.000286866164970572,0.000173616272810528,0.996425862566993,0.398
"Candidatus.Andersenbacteria",9.50023687116978e-05,0.000371067931768204,0.25602419551319,2.76062002014352e-05,0.000182098651750144,0.99662059414417,0.4168
"Fibrobacteres",8.71517018416292e-05,0.000120530081936981,0.723070128560903,0.000147818855215078,0.000136554670902324,0.996799233777933,0.1674
"Candidatus.Tectomicrobia",7.1420585940375e-05,5.44683012957264e-05,1.31123211558607,0.000147808530410046,5.49844404809311e-05,0.996945628478735,0.6994
"Candidatus.Schekmanbacteria",7.11041762762403e-05,0.000109032893233298,0.652135095820109,0.000160119183678234,5.44542718080621e-05,0.997091374617257,1
"Candidatus.Adlerbacteria",6.97970110262472e-05,0.000109011505084341,0.640271969204041,0.000131765364664733,4.37538581574003e-05,0.997234441387314,0.9998
"Fusobacteria",6.85449754726603e-05,7.2333483387433e-05,0.947624423194433,0.000181568107848273,0.000135114264354244,0.997374941791276,1
"Thermotogae",6.65972642569514e-05,6.97020213658293e-05,0.955456713477754,0.00014779512675956,0.000121414594343303,0.997511449864499,0.9994
"Candidatus.Poribacteria",6.21424904600145e-05,4.38850154455384e-05,1.41602981858657,0.000134796301987254,6.61002619121405e-05,0.997638826743003,0.0102
"Candidatus.Terrybacteria",5.84278583317183e-05,6.81746838764219e-05,0.857031598967568,8.08079462918761e-05,8.22277148389013e-05,0.99775858953585,1
"Candidatus.Blackburnbacteria",5.74029367456605e-05,8.85366000918089e-05,0.64835262124518,0.00010301695881288,3.74159139446279e-05,0.997876251490585,1
