"","average","sd","ratio","ava","avb","cumsum","p"
"Proteobacteria",0.117468392635797,0.0811115741339634,1.44823218991887,0.350556886200719,0.375803810827861,0.185454055728449,0.9146
"Actinobacteria",0.115377471255329,0.0258747364659845,4.45907812073785,0.0228152855516599,0.253570228062318,0.367607054538386,2e-04
"Firmicutes",0.10870587430003,0.0851738270259342,1.27628261046589,0.0387228468639121,0.250311822910483,0.539227222466896,0.0016
"Candidate Division WWE3",0.0306662732931117,0.0531984602079296,0.57645039298601,0.0615693471281554,0.000288041017458994,0.587641818331141,0.2372
"Planctomycetes",0.0278034061420027,0.0469060295598799,0.59274695391792,0.0579043556547201,0.00354874720543026,0.631536642431496,0.199
"Bacteroidetes",0.0263667312466738,0.0198124620371443,1.33081548356997,0.0562495120410272,0.0531057336169677,0.673163305879239,0.5596
"Candidatus Woesebacteria",0.0143329473305162,0.0222793169168184,0.643329747677158,0.028807988051936,0.000147871047614306,0.695791547854319,0.2702
"Spirochaetes",0.0120730491199922,0.0248311303367576,0.486206183780545,0.0257741585816331,0.00203711854017309,0.714851959545259,0.2134
"Euryarchaeota",0.010579373881438,0.0264635949880671,0.399770850718068,0.0198401993035214,0.00899965546012163,0.731554220888558,0.9972
"Elusimicrobia",0.0102499872583569,0.0163901470622727,0.625374941384793,0.0212107989519247,0.000756066012748717,0.747736460770914,0.2682
"Candidatus Moranbacteria",0.00944922831555079,0.0167713985988144,0.563413257390397,0.0191999969660581,0.000340077513162093,0.762654496808541,0.2124
"Candidatus Omnitrophica",0.00868851420248039,0.0172343946153524,0.504138056276179,0.0179120167423718,0.000718901758516433,0.776371550059623,0.243
"Candidatus.Uhrbacteria",0.00764690777930122,0.0200169410572926,0.382021796308148,0.0154417457847932,0.000154000773228155,0.788444159802822,0.129
"Ignavibacteriae",0.00566927212625043,0.0106831238752135,0.530675502078939,0.0118929968132692,0.00058936874069637,0.797394563270938,0.2446
"Candidatus.Yanofskybacteria",0.00504569580131788,0.00942097195420407,0.53558123576265,0.0101983807750058,0.000112809499723764,0.805360491205507,0.1764
"Candidatus.Nomurabacteria",0.00503982058902098,0.00658842515917406,0.76495072301205,0.0101784331723418,0.000102154756848983,0.813317143607107,0.2118
