"","average","sd","ratio","ava","avb","cumsum","p"
"Candidatus.Gracilibacteria",7.46940743749283e-06,6.75077895011361e-06,1.10645119514203,1.33092779244485e-05,1.57139321085085e-05,0.999913964175014,1
"Candidatus.Abawacabacteria",7.43752740896585e-06,7.13379165504923e-06,1.04257704298129,9.16024874678218e-06,1.48538386169716e-05,0.999934032159061,0.6184
"Candidatus.Wirthbacteria",5.31631885295416e-06,6.28415801130827e-06,0.845987456615112,1.11425382315242e-05,1.47718145392014e-06,0.999948376684608,0.9884
"Candidatus.Delongbacteria",3.86983195571816e-06,3.16061814840736e-06,1.2243908545764,7.47321502981148e-06,6.46533092199289e-06,0.999958818289954,0.977
"Candidatus.Lokiarchaeota",3.78814852360956e-06,3.12223233852619e-06,1.21328207285102,4.94112369981075e-06,7.69325389059268e-06,0.99996903949654,0.4504
"Candidatus.Verstraetearchaeota",2.829436499782e-06,2.26667437029787e-06,1.24827656625869,6.47839156218267e-06,3.67678200645979e-06,0.999976673900209,0.8754
"Candidatus.Parvarchaeota",2.41952104406313e-06,3.58581312417157e-06,0.674748225933305,4.82558067569088e-06,7.14765219638775e-07,0.999983202267372,0.9862
"Coprothermobacterota",1.61688122346332e-06,1.90111275311609e-06,0.850492018852175,3.38827415476721e-06,4.28859131783265e-07,0.999987564946636,0.8056
"Candidatus.Veblenbacteria",1.51438251513281e-06,1.83438193371303e-06,0.825554639031742,1.56193368665804e-06,2.34255359646741e-06,0.999991651063228,1
"Candidatus.Thorarchaeota",1.00337114742373e-06,1.25203098960368e-06,0.801394818303451,2.00304273215986e-06,4.28859131783265e-07,0.999994358365679,0.8004
"Candidatus.Odinarchaeota",9.46726123070713e-07,1.13188206354325e-06,0.836417638872269,1.92868051422504e-06,3.33557102498095e-07,0.999996912828162,1
"Candidatus.Korarchaeota",8.46853416917323e-07,8.29936568903171e-07,1.02038330234865,1.72727545141415e-06,5.24161161068435e-07,0.99999919781347,0.4968
"Rhodothermaeota",2.97303619927371e-07,4.59186000641873e-07,0.647457935372126,4.63177775226082e-07,2.38255073212925e-07,1,0.1168
