"","average","sd","ratio","ava","avb","cumsum","p"
"Candidatus.Veblenbacteria",4.39185101743727e-06,6.67401000685191e-06,0.658052806772593,2.13356076316232e-06,8.44986965512441e-06,0.999965597728072,1
"Candidatus.Delongbacteria",2.87450634939089e-06,3.7690993872784e-06,0.762650716798031,5.25267967557261e-06,4.54660144845477e-06,0.99997158951719,0.9998
"Coprothermobacterota",2.71094542473949e-06,2.03763379160709e-06,1.33043799916636,6.79660235187843e-06,1.64508282274112e-06,0.999977240370353,0.2884
"Candidatus.Fraserbacteria",2.49592209357044e-06,3.64565578317077e-06,0.684629115313691,3.54910267939641e-06,4.27279485876194e-06,0.999982443016311,1
"Candidatus.Verstraetearchaeota",2.42765241420263e-06,2.73172334794518e-06,0.888688972120375,4.14269939138725e-06,3.31241900833911e-06,0.999987503356957,0.9936
"Candidatus.Lokiarchaeota",2.28175857978665e-06,1.89257007575932e-06,1.20564020799662,5.76579404904994e-06,1.78438974819452e-06,0.999992259587964,0.9852
"Candidatus.Thorarchaeota",1.30277757193757e-06,1.1472508886211e-06,1.13556466581028,3.01225698393343e-06,1.3858973888131e-06,0.999994975173714,0.6324
"Candidatus.Korarchaeota",1.17208014807966e-06,7.27114253528447e-07,1.61196145226413,2.66663669195774e-06,5.66574485135092e-07,0.99999741832611,0.1376
"Candidatus.Odinarchaeota",1.09880900686414e-06,9.57227983795943e-07,1.14790731723779,2.28184041238619e-06,2.0342077226298e-06,0.999999708747856,1
"Rhodothermaeota",1.39725567946634e-07,1.76266412478299e-07,0.792695363694637,3.60247042243954e-08,2.87699205009213e-07,1,0.7392
