"","average","sd","ratio","ava","avb","cumsum","p"
"Proteobacteria",0.129797080451438,0.0893963300778177,1.45192851136565,0.350556886200719,0.416219291035874,0.21942163778273,0.9898
"Euryarchaeota",0.0735138000312956,0.0841369541536708,0.873739735063707,0.0198401993035214,0.148376487678342,0.343696531689408,2e-04
"Candidate Division WWE3",0.0302847875695035,0.0523085274295337,0.578964636507899,0.0615693471281554,0.00379822028947658,0.394892888843902,0.2006
"Planctomycetes",0.0283957982093692,0.0460842114322426,0.616171945376986,0.0579043556547201,0.00578307636889897,0.442895914239985,0.1892
"Bacteroidetes",0.0275247236274319,0.0250774629929635,1.09758804689115,0.0562495120410272,0.0627050088690435,0.489426390247938,0.82
"Candidatus.Nealsonbacteria",0.0190841152354854,0.0309938879978152,0.615738020245495,0.00168158732659166,0.0392561178130643,0.521688039015695,2e-04
"Actinobacteria",0.0180196412153898,0.0217061322834953,0.830163613675726,0.0228152855516599,0.036363523173886,0.552150197131935,1
"Firmicutes",0.0165713005880369,0.0250423874231428,0.661730062235304,0.0387228468639121,0.00958846281377006,0.580163939063344,0.9844
"Candidatus Woesebacteria",0.0141186910686818,0.0215235984889461,0.655963317469092,0.028807988051936,0.00371444848115092,0.604031550775902,0.164
"Spirochaetes",0.0125156014004073,0.0248403502881743,0.503841582554719,0.0257741585816331,0.000782698541916335,0.62518914343948,0.2642
"Chloroflexi",0.0114252391972663,0.00992481828725199,1.15117867819721,0.0117817959523872,0.0289758587849352,0.644503481543268,2e-04
"Elusimicrobia",0.0107820235946489,0.0146709768916194,0.734921994240755,0.0212107989519247,0.0105301293579594,0.662730465289909,0.1916
"Candidatus Moranbacteria",0.00981740493783234,0.0148539701866623,0.660928008772201,0.0191999969660581,0.00900465016487848,0.679326763625305,0.24
"Candidatus.Wolfebacteria",0.00975325849810295,0.0158027705084009,0.617186618822188,0.00829538606571133,0.017225245194627,0.695814622565805,0.005
"Candidatus Omnitrophica",0.00911694614688038,0.0162179764793759,0.562150657850208,0.0179120167423718,0.00873048679169902,0.711226797078266,0.3284
"Nitrospirae",0.00910230370071942,0.00916207807387976,0.993475893495085,0.00907910813647194,0.0212974842522415,0.726614218572349,2e-04
"Candidatus.Roizmanbacteria",0.00871492517692946,0.00912287807701495,0.955282434266734,0.0074344117188281,0.0204276241848224,0.74134677764706,2e-04
"Candidatus.Uhrbacteria",0.00737006504446746,0.0196836068988348,0.374426551106532,0.0154417457847932,0.00321471056410865,0.753805854053076,0.3286
"Ignavibacteriae",0.00656542935772228,0.00900862539565194,0.728793691531577,0.0118929968132692,0.00779430676478311,0.764904695856048,0.1604
"Armatimonadetes",0.00587648543656843,0.0070722978564152,0.830915998714328,0.000560039437158204,0.0122277253145611,0.774838879694495,2e-04
"Candidatus.Falkowbacteria",0.00541932166510887,0.00662913005609571,0.817501183300155,0.00876725643968151,0.00865476944551474,0.784000229328045,0.1012
"Acidobacteria",0.00537717462409475,0.00817411656004089,0.65782945283421,0.00453064967406557,0.00865548845039855,0.793090329494851,0.089
"Candidatus.Yanofskybacteria",0.00491748612240415,0.009325934471199,0.527291515674989,0.0101983807750058,0.000770896231280409,0.801403327406661,0.2268
"Candidatus.Collierbacteria",0.00483910145584608,0.00780908524925291,0.619675839280797,0.0100934430593297,0.00269595585822188,0.809583816236961,0.254
"Candidatus.Shapirobacteria",0.00478442236740471,0.00707676510019213,0.676074774231918,0.00356015219251858,0.00979150058177198,0.817671870205887,6e-04
"Candidatus.Daviesbacteria",0.0045758163218806,0.00617028522132434,0.741589109376453,0.00932334092065387,0.000188584632755377,0.82540727617995,0.0898
"Candidatus.Nomurabacteria",0.00456868980863266,0.00640613302052041,0.713174358696272,0.0101784331723418,0.00168403633141516,0.833130634801305,0.1738
"Candidatus.Peregrinibacteria",0.00455095485549345,0.00700656523408854,0.649527222461587,0.00963470260579555,0.00312403052499521,0.840824012529021,0.2198
"Candidatus.Berkelbacteria",0.00376793909721102,0.0047173016440087,0.798748814801057,0.00178193921464447,0.00835036102908786,0.847193704088339,2e-04
"Tenericutes",0.00354001034749639,0.00589738166999462,0.600268143659019,0.00731296839131009,0.000255080152312767,0.853178082669998,0.3976
"Candidatus.Levybacteria",0.00342920402171241,0.0041315836379442,0.829997483342419,0.00714218317325472,0.00211547574449539,0.858975143436837,0.3
"Candidatus.Magasanikbacteria",0.00329388766031836,0.00342709100261004,0.961132242420692,0.00697459033652804,0.00390725921305353,0.864543452235353,0.0942
"Verrucomicrobia",0.00326203740902654,0.00394990324118561,0.825852485451619,0.00527684409525704,0.00485612474212881,0.870057918264232,0.3784
"Candidatus.Gottesmanbacteria",0.00302740862259153,0.0043059900121112,0.703069123262368,0.00699988236794677,0.00206250241943647,0.875175744920241,0.2562
"Lentisphaerae",0.00290749833445635,0.00815712406952362,0.356436693824389,0.0060032430536192,0.000339859485268388,0.880090863535992,0.3672
"Candidatus.Zambryskibacteria",0.00289965204453406,0.0048381472614281,0.599331084370128,0.00464980821322475,0.00219901032104955,0.88499271801838,0.0634
"Candidatus.Portnoybacteria",0.00275544165751251,0.00426656330267655,0.645822284128289,0.000749561712912931,0.0059292591015957,0.889650785204508,2e-04
"Candidatus.Margulisbacteria",0.00264194866907023,0.0110194066576643,0.239754167456257,0.00529040219482254,6.71495243637916e-06,0.894116992779356,0.4098
"Candidatus.Kaiserbacteria",0.00259476763095957,0.00277414833922577,0.935338458391067,0.00456582771848826,0.0052963488327568,0.89850344092804,0.0734
"Candidatus.Curtissbacteria",0.00244066354388434,0.00356030914634693,0.685520117371995,0.00499435283903541,0.000128183219509781,0.902629376505428,0.0868
"Candidatus.Rokubacteria",0.00238905995686095,0.00304767868060828,0.783894959813846,0.0047124773993328,0.0010178700734591,0.906668076348848,0.3656
"Candidatus.Pacebacteria",0.00209629889292779,0.00304572937998602,0.688274837122072,0.00164157663439153,0.00423754188598558,0.910211864350616,0.0018
"Candidatus.Woesearchaeota",0.00202720272833949,0.00211895531684558,0.956699139535098,0.00230818517376085,0.00427033736392325,0.913638845460074,0.0016
"Candidatus.Aenigmarchaeota",0.00194173657121488,0.00270005816004641,0.719146202088291,0.000112715240559703,0.00395997712520213,0.916921346246045,2e-04
"Candidatus.Staskawiczbacteria",0.00193306897810679,0.0032984618116966,0.58605164724114,0.00416767986099857,0.000688082235643855,0.920189194487684,0.2524
"Candidatus.Raymondbacteria",0.00193303603862084,0.00595904170737505,0.324387063146155,0.00387225941569978,1.14684587800104e-05,0.923456987045206,0.3878
"Candidatus.Jorgensenbacteria",0.00192605386492362,0.00307453892387075,0.626452912978179,0.00153805450527439,0.00371423670715232,0.926712976255667,0.001
"Candidatus.Giovannonibacteria",0.00180720713389861,0.00222256334539749,0.813118392166861,0.00384062078753439,0.00031747637567137,0.929768055366488,0.0494
"Candidatus.Beckwithbacteria",0.00174405322650432,0.00194888776007061,0.89489670069103,0.00218732238083343,0.00345606461345086,0.932716372955827,0.0092
"Candidatus.Melainabacteria",0.00174107105942342,0.00248736137667666,0.699967071833225,0.00351667336578271,3.6283301332312e-05,0.935659649199222,0.1
"Candidatus.Desantisbacteria",0.00168663281162847,0.00147261274310763,1.14533357090826,7.2967513387251e-05,0.0034282228560016,0.93851089772175,2e-04
"Candidatus.Kuenenbacteria",0.00166511986054951,0.00233882513270402,0.711947138443986,0.000661328672065463,0.00364251283726454,0.941325778654631,2e-04
"Candidatus.Azambacteria",0.00164227494231172,0.00190915158919911,0.860211913816995,0.00350047891442941,0.000593241780700115,0.944102040310735,0.062
"Candidatus.Atribacteria",0.0016394636416002,0.00181706340955464,0.902260005335768,0.000166873935108875,0.00339183871140039,0.946873549470062,0.678
"Nitrospinae",0.00161183858828755,0.00257784513810895,0.625265872049226,0.00346418158528905,0.000344396581043746,0.949598358546302,0.1744
"Candidatus.Amesbacteria",0.00152330055594347,0.00236762063321172,0.643388782212583,0.00310818914785666,7.59543600523314e-05,0.952173494301728,0.1294
"Candidatus.Yonathbacteria",0.00131132288943759,0.00274098751449858,0.478412573023877,0.00224564338497112,0.0010364105842028,0.954390282345509,0.243
"Candidatus.Micrarchaeota",0.00109270603609949,0.00133888173027022,0.816133353226769,0.00024829339486511,0.00231059278140678,0.956237499149016,2e-04
"Gemmatimonadetes",0.00106620479657001,0.00137684581202301,0.774382132886344,0.00109810733070357,0.00160164375371606,0.958039915673806,0.0138
"Thaumarchaeota",0.001038231512169,0.00161488294558311,0.642914407517077,0.00184681165075849,0.00092045717238351,0.95979504343173,0.8774
"Cyanobacteria",0.000999439660621733,0.00102103144090797,0.97885297217974,0.00301778150747756,0.00201953458482718,0.961484593662258,0.8466
"Caldiserica",0.000905916790949081,0.00121789427555525,0.743838614838764,9.36124115444403e-05,0.00185559538956647,0.963016043717017,2e-04
"Candidatus.Terrybacteria",0.000815880388352652,0.000900973304669078,0.905554453305717,0.00169592292498791,8.22277148389013e-05,0.964395287459823,0.0196
"Candidatus.Tagabacteria",0.000728947328391088,0.00117308727368081,0.621392239729838,0.000550450480884704,0.00144700424378641,0.965627571083589,0.0012
"Candidatus.Taylorbacteria",0.000726670335569685,0.00085765031185072,0.847280442307082,0.00165704810291822,0.000360514265265647,0.966856005456722,0.1338
"Candidatus.Edwardsbacteria",0.000718559665108495,0.0023632533041488,0.30405528846486,0.00144084158463734,4.43005151334971e-06,0.968070728761856,0.3802
"Candidatus.Firestonebacteria",0.000687498388977532,0.0017115326713733,0.401685810897141,0.00139237120512288,1.95843675603331e-05,0.969232943057877,0.3112
"Candidatus.Kerfeldbacteria",0.000652588766158642,0.000873874917674315,0.746775943513069,0.00088346348284531,0.00119807098224752,0.970336142724396,0.083
"Chlamydiae",0.000593433183563967,0.00136131639378893,0.435925980375711,0.000728525399319546,0.000662146909840673,0.971339340027442,0.0234
"Candidatus.Colwellbacteria",0.000573821646497044,0.0010646816513728,0.53896077363328,0.000371214651835772,0.00111841123146606,0.972309384076443,0.002
"Candidatus.Marinimicrobia",0.000563123382923919,0.000607015101852385,0.92769254208911,0.000820420221074971,0.00160685271869617,0.973261342737802,0.0014
