"","average","sd","ratio","ava","avb","cumsum","p"
"Proteobacteria",0.175960157868774,0.106005408250379,1.65991679833132,0.350556886200719,0.632079278931988,0.316370662808155,0.0044
"Euryarchaeota",0.0417007639659409,0.0697377517533575,0.597965419267094,0.0198401993035214,0.0784646594778131,0.391347285330568,0.4288
"Firmicutes",0.033629783600549,0.0303292863494088,1.10882212041249,0.0387228468639121,0.0809315925677958,0.451812546652594,0.1188
"Candidate Division WWE3",0.0306617933957276,0.0530756224468686,0.577700118852523,0.0615693471281554,0.000299784172731554,0.506941457748067,0.2942
"Planctomycetes",0.027813678635604,0.0467421394279886,0.595045048771335,0.0579043556547201,0.00384956278516822,0.556949550782636,0.3266
"Bacteroidetes",0.0271292217297687,0.0230518315678582,1.17687922757494,0.0562495120410272,0.0607447075649252,0.605727012476647,0.6804
"Candidatus Woesebacteria",0.0141200709872213,0.022188198513831,0.636377530984301,0.028807988051936,0.000711574793745372,0.631114442626926,0.2786
"Spirochaetes",0.0124640517909044,0.0231544856581272,0.5382996614537,0.0257741585816331,0.0106054773235272,0.653524403916596,0.2674
"Actinobacteria",0.0123845836425634,0.012185508827667,1.01633701289883,0.0228152855516599,0.0291811081073788,0.675791484050287,1
"Chloroflexi",0.0107224185886508,0.00868558256748311,1.23450770346634,0.0117817959523872,0.0273267012629011,0.695070045270536,0.074
"Elusimicrobia",0.00977206292947327,0.0160586589158604,0.60852297696054,0.0212107989519247,0.00281771509596118,0.712639897806734,0.3722
"Candidatus Moranbacteria",0.00938293154619159,0.0166833419558764,0.562413188616961,0.0191999969660581,0.000679410773729417,0.729510104723495,0.3756
"Candidatus Omnitrophica",0.00857218684749316,0.0171204970686965,0.500697311129287,0.0179120167423718,0.00131061335988162,0.744922618939806,0.3158
"Candidatus.Uhrbacteria",0.00759226365189849,0.0199613169294573,0.380348835636913,0.0154417457847932,0.000329762510799998,0.758573262999564,0.206
"Candidatus.Atribacteria",0.00637518124740429,0.0166625378031191,0.38260565843763,0.000166873935108875,0.0128843409898086,0.770035632329032,0.0274
"Ignavibacteriae",0.00547690843125764,0.0104497137152098,0.524120428609053,0.0118929968132692,0.00185482496856836,0.779882936238754,0.4564
"Candidatus.Yanofskybacteria",0.00501226988078734,0.00939407564010959,0.533556474613278,0.0101983807750058,0.000204191829780888,0.788894835088837,0.2246
"Candidatus.Collierbacteria",0.00501141950372553,0.00830064214778447,0.603738772796407,0.0100934430593297,8.48564244860402e-05,0.797905204988515,0.2706
"Candidatus.Nomurabacteria",0.0049130668612237,0.00648586159005548,0.757504117688345,0.0101784331723418,0.000748553361802416,0.806738740023562,0.2034
"Tenericutes",0.00489260804172203,0.00501330424483516,0.975924819795751,0.00731296839131009,0.00848182938703773,0.815535490764002,0.093
"Candidatus.Daviesbacteria",0.00459864264388305,0.00617426339419998,0.744808303481668,0.00932334092065387,0.000142007673811432,0.823803701243491,0.219
"Candidatus.Peregrinibacteria",0.0045470289768228,0.00734065504757526,0.619430956413728,0.00963470260579555,0.000681944549447234,0.831979112021868,0.2476
"Candidatus.Saccharibacteria",0.0042778601954175,0.00689745520088414,0.620208478464515,0.000771219287399477,0.00874396631672889,0.839670566052241,4e-04
"Candidatus.Falkowbacteria",0.00421250928086475,0.00717985424111764,0.586712367604975,0.00876725643968151,0.00123016322518184,0.847244521255592,0.4896
"Candidatus.Wolfebacteria",0.00407021054899901,0.00773058711418273,0.526507300012401,0.00829538606571133,0.000191350322250952,0.854562627949472,0.8514
