"","average","sd","ratio","ava","avb","cumsum","p"
"Proteobacteria",0.147800795765783,0.100451826399878,1.47135996489918,0.611684211519004,0.416219291035874,0.274801333066446,0.3828
"Bacteroidetes",0.105675960420216,0.0855904214385722,1.23467040638489,0.245792277843078,0.0627050088690435,0.471281295478633,8e-04
"Euryarchaeota",0.0731013077137078,0.0873994397368644,0.836404763392027,0.00235470475236273,0.148376487678342,0.607196238998024,0.0952
"Firmicutes",0.0261802275321611,0.023226831689265,1.12715448591558,0.0578806816819304,0.00958846281377006,0.655872305920028,0.3324
"Candidatus.Nealsonbacteria",0.0195880224135901,0.0313130396163875,0.62555480571547,8.77777177947461e-05,0.0392561178130643,0.692291694892196,0.0856
"Actinobacteria",0.0176492549133227,0.0225114285879403,0.784013100029452,0.0174008297148352,0.036363523173886,0.725106394925993,0.9216
"Chloroflexi",0.0125518443345934,0.0107680212401522,1.16565932167645,0.00455830081148009,0.0289758587849352,0.748443641100599,0.065
"Candidatus.Roizmanbacteria",0.0100898792715942,0.0103447059312825,0.975366466540363,0.000274745586141465,0.0204276241848224,0.767203433698113,0.0738
"Nitrospirae",0.00966394775773189,0.0101325065678702,0.953756870819699,0.00205351877485719,0.0212974842522415,0.785171305337435,0.098
"Candidatus.Wolfebacteria",0.00856749977014319,0.0163584333893651,0.523735957241057,0.000105801673098516,0.017225245194627,0.801100585999853,0.2206
"Armatimonadetes",0.00590608821374968,0.00712265029009659,0.829198117723337,0.00045396699784288,0.0122277253145611,0.812081588544104,0.0638
"Acidobacteria",0.00488536385705391,0.00828771028829058,0.589470877614566,0.00325167971831522,0.00865548845039855,0.821164790657308,0.3172
"Candidatus.Shapirobacteria",0.00486842447403374,0.00753291595350324,0.64628684351239,6.05121819288286e-05,0.00979150058177198,0.830216497912781,0.0966
"Elusimicrobia",0.00476246153564813,0.00598649499603784,0.795534204705786,0.00103391645170273,0.0105301293579594,0.83907119163681,0.8688
"Planctomycetes",0.00456032922795453,0.00374504645609813,1.21769630401483,0.00721473193757394,0.00578307636889897,0.847550067170401,0.994
"Candidatus Moranbacteria",0.00440463026127311,0.00334052173057364,1.31854560949578,0.000206700215945555,0.00900465016487848,0.855739456552179,0.8358
"Candidatus.Falkowbacteria",0.00417764049634506,0.00441903729654296,0.945373441317919,0.00038242564238804,0.00865476944551474,0.863506811061469,0.439
"Candidatus.Parcubacteria",0.00417676012932495,0.00719418171233679,0.580574733351886,0.00831729593092252,9.73859483086079e-05,0.871272528732274,0.027
"Candidatus.Berkelbacteria",0.00414685105022881,0.00500995880942096,0.82772158574056,5.80176390902202e-05,0.00835036102908786,0.878982637400678,0.1066
"Verrucomicrobia",0.00393815399569231,0.00491878124613435,0.800636132941933,0.00716415940757472,0.00485612474212881,0.886304722252996,0.2096
"Candidatus Omnitrophica",0.00390253732284226,0.00532908145941356,0.732309564521409,0.000986321093534908,0.00873048679169902,0.893560586154826,0.889
"Candidatus.Portnoybacteria",0.00293376455843596,0.0043771774443716,0.670241176127859,6.90502215529985e-05,0.0059292591015957,0.899015241573859,0.0588
"Ignavibacteriae",0.00266941591193635,0.0021409434628049,1.24684091771349,0.00344490336389038,0.00779430676478311,0.903978401936482,0.8784
"Candidatus.Kaiserbacteria",0.00250886672664571,0.00289546815428687,0.866480511253842,0.000322471388736827,0.0052963488327568,0.908643058289624,0.2784
"Candidatus.Pacebacteria",0.00208857594854187,0.00320494836595682,0.651672261159296,6.42946023970417e-05,0.00423754188598558,0.912526281325712,0.123
"Candidatus.Woesearchaeota",0.00204255713797793,0.00238539961047151,0.856274617054284,0.000231720789272012,0.00427033736392325,0.916323943046494,0.1488
"Candidatus.Aenigmarchaeota",0.00197252214959233,0.00272356384828201,0.724243035769685,2.08255232052562e-05,0.00395997712520213,0.919991390934055,0.0924
"Candidatus.Jorgensenbacteria",0.00183786832208182,0.00331405845142521,0.554567262171083,4.27550190477964e-05,0.00371423670715232,0.923408481229759,0.1426
"Candidatus.Magasanikbacteria",0.0018319662738559,0.00264806141829836,0.691814117753024,0.000251087188931465,0.00390725921305353,0.926814598034341,0.8604
"Candidatus.Kuenenbacteria",0.00181435734218319,0.00243904219913521,0.743881078739226,1.52312891869076e-05,0.00364251283726454,0.930187975110612,0.1004
"Candidate Division WWE3",0.0018011389263227,0.00189064299871669,0.952659453712443,0.000249363443598297,0.00379822028947658,0.933536775605405,0.9984
"Candidatus Woesebacteria",0.00175134824638165,0.00340719014909776,0.514015411451401,0.000285828082603184,0.00371444848115092,0.936793001867759,0.9936
"Candidatus.Beckwithbacteria",0.00171367633776622,0.00206538182711132,0.829714058326443,3.25516698276711e-05,0.00345606461345086,0.939979185944933,0.1962
"Candidatus.Desantisbacteria",0.00170620181987864,0.00148894520014927,1.14591310661238,1.6495005633878e-05,0.0034282228560016,0.943151472888002,0.021
"Candidatus.Atribacteria",0.00166684243426513,0.00184241324066319,0.90470606565177,7.06384208082434e-05,0.00339183871140039,0.946250580173416,0.3058
"Candidatus.Peregrinibacteria",0.00146274563308528,0.00222298244529934,0.658010429267385,0.000208610767514068,0.00312403052499521,0.948970216747944,0.9554
"Candidatus.Uhrbacteria",0.00145197378843359,0.00244185876225195,0.594618251833099,0.000361173049348855,0.00321471056410865,0.951669825573267,0.9744
"Candidatus.Collierbacteria",0.00133872975498651,0.00136211442883381,0.982832078309802,1.84963482488665e-05,0.00269595585822188,0.95415888335797,0.9686
"Thaumarchaeota",0.00122850261441249,0.00116976190318381,1.0502159551177,0.00237679876205212,0.00092045717238351,0.956442999315309,0.427
"Candidatus.Micrarchaeota",0.00113918571605366,0.00137931183967222,0.825908749050089,3.24795360722805e-05,0.00231059278140678,0.958561051195611,0.087
"Candidatus.Zambryskibacteria",0.00106480976227011,0.00415961008220112,0.255987878966446,0.000113616036745648,0.00219901032104955,0.960540818223373,0.8334
"Candidatus.Levybacteria",0.000981657994756357,0.00194902719183531,0.503665622967515,0.000178400623357928,0.00211547574449539,0.962365983806391,0.9946
"Candidatus.Gottesmanbacteria",0.000947325797473653,0.00100478083479061,0.942818338758488,0.000176222204372963,0.00206250241943647,0.964127316623614,0.9896
"Gemmatimonadetes",0.000921389778475668,0.00147883207071161,0.623052337533024,0.000666679927661693,0.00160164375371606,0.965840427423099,0.2588
"Caldiserica",0.000905011782722084,0.00122779317439797,0.737104425723693,7.67872106340282e-05,0.00185559538956647,0.967523087134397,0.0936
"Spirochaetes",0.000891599851325169,0.000600988351259735,1.48355596153616,0.00237313921914672,0.000782698541916335,0.969180810466918,1
"Candidatus.Rokubacteria",0.000870331574821232,0.000851872240057646,1.02166913522424,0.00118982942119166,0.0010178700734591,0.970798990367313,0.9894
"Synergistetes",0.000753903687587493,0.000498010189688595,1.5138318516312,0.00159982952194905,0.000113361471100224,0.972200699588697,0.1524
"Candidatus.Nomurabacteria",0.000740858886252901,0.000833756973056573,0.88857893870068,0.000238275697462195,0.00168403633141516,0.973578155024587,0.9992
"Candidatus.Tagabacteria",0.000716554766444652,0.00125413910717202,0.571351903745686,1.98687453651998e-05,0.00144700424378641,0.974910422581158,0.123
"Cyanobacteria",0.000670301840611139,0.000468709441038733,1.43010100058076,0.00242169734891305,0.00201953458482718,0.976156693539324,0.959
"Candidatus.Dadabacteria",0.000622579774539602,0.00105357707745377,0.590920007527327,0.0012563898390722,1.62739327248513e-05,0.977314236373226,0.0382
"Candidatus.Kerfeldbacteria",0.000582868605542919,0.00047791952046303,1.21959572812219,3.54563138184136e-05,0.00119807098224752,0.978397945489784,0.2386
"Candidatus.Marinimicrobia",0.000582238586919056,0.000637345936696346,0.913536202861924,0.00064253632646138,0.00160685271869617,0.97948048323269,0.1052
"Candidatus.Colwellbacteria",0.000553485935549368,0.00112648281154683,0.491339885416758,1.37864509896686e-05,0.00111841123146606,0.980509562082601,0.1068
"candidate.division.Zixibacteria",0.00050616102594729,0.000576597653678783,0.877840939375843,0.00109844373832585,0.000485236908714396,0.981450651228677,0.0116
"Candidatus.Yonathbacteria",0.000498523493665103,0.000877117653357876,0.568365591271139,4.87070915322655e-05,0.0010364105842028,0.982377540153153,0.7616
"Candidatus.Diapherotrites",0.000491921348819187,0.000648394455368113,0.758676057061451,2.56593082032158e-05,0.00100368390149656,0.98329215391906,0.1226
"Candidatus.Saccharibacteria",0.0004887194878825,0.000809905286187372,0.603427951659813,0.000289842560208489,0.00104915125029012,0.984200814566452,0.6406
"Candidatus.Komeilibacteria",0.000453351547308026,0.000862732636136824,0.525483247438117,3.19248600838519e-05,0.000938467250647488,0.985043716723389,0.3208
"Candidatus.Hydrogenedentes",0.000437082337034082,0.000498220468054997,0.877286994531573,0.000111098398489639,0.000972951014944435,0.985856370053532,0.0804
"Candidatus.Bathyarchaeota",0.000388612069554148,0.000563358673150119,0.689812881341037,4.60165219396765e-05,0.000807085180778962,0.986578904152255,0.1354
"Nitrospinae",0.000358171433193829,0.000469143824746122,0.763457631330124,0.000820233763150915,0.000344396581043746,0.987244840941012,0.9792
"Candidatus.Brennerbacteria",0.000356593802921507,0.000678248821009945,0.5257566130237,3.26641564041907e-05,0.00072990366331622,0.987907844491827,0.1056
"Candidatus.Yanofskybacteria",0.000345932429476954,0.00080683367486512,0.428753087846494,0.000154833152010321,0.000770896231280409,0.988551025689051,1
"Chlamydiae",0.000329740106834094,0.00139663455256384,0.236096197268485,0.000140624170781341,0.000662146909840673,0.989164101014214,0.3808
"Deinococcus.Thermus",0.000321828275093972,0.000360391946076832,0.892995192032846,0.000412683541436297,0.000482201576631358,0.989762466121493,0.872
"Candidatus.Staskawiczbacteria",0.000319287506683852,0.000492732337213385,0.647993814429881,6.26364955658598e-05,0.000688082235643855,0.99035610725863,0.9992
"Candidatus.Harrisonbacteria",0.000315653128220849,0.000962114810136706,0.328082599805316,6.29839400110777e-05,0.000672475119653325,0.990942991111131,0.6052
